,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
176,2017-07-27,25.8,29.6,26.5,83.0,0.0,10.0,6.0,100.0,2.0,E 
177,2017-07-28,24.4,32.0,28.2,75.0,4.0,4.1,5.0,90.0,2.0,SW
178,2017-07-29,24.7,33.4,28.7,73.5,2.0,6.0,4.5,90.0,2.5,
179,2017-07-30,25.0,34.8,29.2,72.0,0.0,7.9,4.0,90.0,3.0,E 
180,2017-07-31,24.0,33.4,28.3,75.0,31.0,8.0,4.0,315.0,3.0,NW
181,2017-08-01,23.4,33.6,27.9,68.0,0.0,8.0,69.0,1.0,4.0,SE
182,2017-08-02,22.6,33.8,28.4,66.0,0.0,7.4,69.0,0.0,2.0,SE
183,2017-08-03,23.2,32.8,26.8,78.0,0.0,6.5,139.0,0.0,3.0,W 
184,2017-08-04,23.0,33.4,27.9,71.0,0.0,7.4,46.0,0.0,3.0,E 
185,2017-08-05,23.2,33.2,26.3,80.0,0.0,5.8,185.0,1.0,2.0,NW
186,2017-08-06,23.4,34.0,28.6,67.0,0.0,8.0,185.0,0.0,3.0,NW
187,2017-08-07,23.8,34.0,27.8,74.0,0.0,8.0,185.0,1.0,4.0,NW
188,2017-08-08,26.0,33.0,28.9,76.0,0.0,6.9,162.0,0.0,2.0,NW
189,2017-08-09,25.6,34.2,28.5,73.0,0.0,3.9,162.0,0.0,2.0,NW
190,2017-08-10,24.2,34.2,28.2,74.0,0.0,7.1,139.0,0.0,3.0,W 
191,2017-08-11,24.8,33.6,28.2,75.0,0.0,8.0,185.0,0.0,3.0,N 
192,2017-08-12,24.4,32.4,26.3,83.0,0.0,7.5,162.0,0.0,0.0,NW
193,2017-08-13,24.2,33.4,27.1,80.0,0.0,7.0,23.0,0.0,2.0,NE
194,2017-08-14,23.4,32.6,27.7,79.0,0.0,6.9,185.0,0.0,6.0,N 
195,2017-08-15,23.2,34.0,28.1,68.0,0.0,6.5,69.0,0.0,3.0,SE
196,2017-08-16,23.0,33.6,27.5,70.0,0.0,7.3,162.0,0.0,3.0,NW
197,2017-08-17,23.0,33.8,27.5,72.0,0.0,7.3,162.0,0.0,3.0,NW
198,2017-08-18,24.6,34.0,29.0,65.0,0.0,7.0,46.0,1.0,4.0,E 
199,2017-08-19,25.8,34.8,29.0,72.0,0.0,5.7,46.0,1.0,3.0,N 
200,2017-08-20,25.0,34.6,27.3,80.0,0.0,8.0,69.0,0.0,2.0,SE
201,2017-08-21,23.6,34.8,28.9,67.0,0.0,8.0,46.0,0.0,3.0,E 
202,2017-08-22,23.2,35.2,28.6,70.0,0.0,8.0,46.0,0.0,4.0,E 
203,2017-08-23,24.0,34.2,28.3,73.0,0.0,8.0,46.0,1.0,3.0,E 
204,2017-08-24,24.8,34.6,28.8,71.0,0.0,7.8,162.0,1.0,4.0,SE
205,2017-08-25,24.4,34.6,28.5,70.0,0.0,8.0,69.0,1.0,4.0,SE
206,2017-08-26,24.2,34.0,29.1,56.0,0.0,6.7,46.0,1.0,3.0,E 
207,2017-08-27,23.2,34.6,28.5,69.0,0.0,8.0,23.0,1.0,6.0,NE
208,2017-08-28,23.2,34.8,29.9,61.0,0.0,8.0,46.0,5.0,0.0,E 
209,2017-08-29,24.4,33.2,28.0,72.0,0.0,4.5,139.0,0.0,3.0,N 
210,2017-08-30,24.8,31.6,28.0,74.0,15.0,7.3,185.0,0.0,3.0,N 
211,2017-08-31,24.8,33.4,27.4,76.0,0.0,7.1,69.0,0.0,3.0,SE
212,2017-09-01,23.0,35.0,28.2,68.0,0.0,8.0,4.0,135.0,3.0,SE
213,2017-09-02,23.6,34.0,27.9,72.0,0.0,8.0,6.0,135.0,3.0,NW
214,2017-09-03,23.4,35.4,28.2,68.0,0.0,8.0,5.0,270.0,3.0,E 
215,2017-09-04,25.2,34.0,28.6,72.0,0.0,7.7,5.0,315.0,3.0,NW
216,2017-09-05,25.2,34.4,29.1,72.0,1.0,7.2,5.0,90.0,3.0,E 
217,2017-09-06,24.6,34.0,29.7,61.0,0.0,8.0,6.0,90.0,3.0,E 
218,2017-09-07,24.2,34.8,30.2,62.0,0.0,8.0,5.0,135.0,6.0,SE
219,2017-09-08,27.0,36.6,31.1,57.0,1.0,8.0,8.0,90.0,4.0,SE
220,2017-09-09,25.4,35.4,29.4,68.0,0.0,8.0,5.0,90.0,3.0,E 
221,2017-09-10,26.2,33.8,28.9,73.0,0.0,6.4,4.0,360.0,3.0,N 
222,2017-09-11,24.4,33.4,27.5,82.0,19.0,7.1,5.0,360.0,3.0,N 
223,2017-09-12,24.6,33.6,27.6,73.0,0.0,6.5,6.0,90.0,5.0,E 
224,2017-09-13,24.0,35.4,28.1,75.0,0.0,8.0,4.0,360.0,3.0,N 
225,2017-09-14,22.6,35.2,28.6,68.0,0.0,8.0,8.0,360.0,3.0,N 
226,2017-09-15,25.0,36.4,29.8,64.0,0.0,8.0,5.0,135.0,4.0,SE
227,2017-09-16,24.8,36.0,29.4,65.0,0.0,8.0,4.0,90.0,4.0,E 
228,2017-09-17,25.0,35.4,29.2,68.0,27.0,8.0,9.0,45.0,3.0,NE
229,2017-09-18,23.4,33.6,28.4,77.0,0.0,8.0,6.0,135.0,2.0,SE
230,2017-09-19,24.2,34.8,28.8,66.0,0.0,8.0,5.0,270.0,3.0,E 
231,2017-09-20,23.8,34.4,28.3,66.0,0.0,8.0,6.0,270.0,3.0,NW
232,2017-09-21,23.2,35.6,28.4,62.0,0.0,8.0,8.0,90.0,3.0,N 
233,2017-09-22,24.0,34.8,28.8,64.0,0.0,8.0,5.0,90.0,3.0,E 
234,2017-09-23,23.4,36.0,29.7,67.0,4.0,7.5,5.0,45.0,3.0,NE
235,2017-09-24,26.6,31.6,28.4,61.0,0.0,1.8,4.0,360.0,3.0,N 
236,2017-09-25,25.0,33.8,28.8,76.0,2.0,5.2,6.0,45.0,4.0,NE
237,2017-09-26,25.4,33.8,29.8,68.0,4.0,5.1,6.0,135.0,4.0,SE
238,2017-09-27,27.4,34.0,28.9,72.0,0.0,4.6,9.0,360.0,4.0,N 
239,2017-09-28,25.2,32.2,29.0,72.0,0.0,5.4,5.0,360.0,2.0,N 
240,2017-09-29,25.6,35.2,29.7,70.0,0.0,7.3,5.0,90.0,3.0,E 
241,2017-09-30,23.0,33.2,28.7,79.0,50.0,7.5,4.0,360.0,4.0,N 
242,2017-10-01,22.6,32.6,28.4,80.0,32.0,6.2,4.0,360.0,3.0,NW
243,2017-10-02,22.6,32.0,27.7,81.0,79.0,6.5,4.0,360.0,3.0,N 
244,2017-10-03,23.0,34.4,28.3,81.0,68.0,7.1,5.0,315.0,2.0,NW
245,2017-10-04,24.4,34.8,29.2,77.0,15.0,7.8,5.0,90.0,3.0,E 
246,2017-10-05,23.4,34.2,29.8,73.0,0.0,8.0,7.0,360.0,3.0,N 
247,2017-10-06,25.8,35.2,29.9,70.0,0.0,8.0,6.0,360.0,3.0,N 
248,2017-10-07,25.6,35.0,29.8,74.0,9.0,8.0,6.0,135.0,3.0,N 
249,2017-10-08,25.2,33.0,29.0,74.0,0.0,7.9,4.0,360.0,3.0,N 
250,2017-10-09,24.8,35.0,29.1,74.0,5.0,8.0,5.0,360.0,3.0,N 
251,2017-10-10,25.4,32.8,28.9,78.0,5.0,6.8,3.0,360.0,2.0,N 
252,2017-10-11,26.6,33.4,28.1,85.0,3.0,3.4,4.0,180.0,2.0,N 
253,2017-10-12,25.2,35.2,30.4,65.0,21.0,7.8,5.0,90.0,3.0,N 
254,2017-10-13,26.0,32.8,29.7,84.0,4.0,7.3,5.0,315.0,2.0,NW
255,2017-10-14,26.0,33.6,30.1,72.0,3.0,6.7,6.0,315.0,3.0,NW
256,2017-10-15,25.4,32.8,29.1,74.0,0.0,5.2,4.0,315.0,2.0,NW
257,2017-10-16,23.0,32.0,27.7,85.0,11.0,4.3,3.0,270.0,3.0,NW
258,2017-10-17,23.8,30.8,26.8,84.0,46.0,2.2,3.0,360.0,2.0,NW
259,2017-10-18,25.8,32.6,28.3,82.0,0.0,5.7,5.0,270.0,3.0,NW
260,2017-10-19,26.0,33.0,29.2,77.0,1.0,6.2,5.0,315.0,2.0,NW
261,2017-10-20,25.8,33.6,29.5,76.0,1.0,8.0,6.0,315.0,3.0,NW
262,2017-10-21,26.2,33.4,29.7,76.0,0.0,7.9,4.0,315.0,2.0,NW
263,2017-10-22,25.0,33.4,29.1,73.0,0.0,8.0,6.0,315.0,3.0,NW
264,2017-10-23,24.6,32.8,29.0,71.0,0.0,8.0,5.0,360.0,4.0,S 
265,2017-10-24,25.6,33.6,29.0,79.0,0.0,4.6,8.0,180.0,2.0,S 
266,2017-10-25,24.4,32.2,28.4,79.0,31.0,8.0,6.0,360.0,3.0,N 
267,2017-10-26,26.8,32.0,29.6,76.0,0.0,7.7,5.0,315.0,3.0,NW
268,2017-10-27,25.6,33.6,29.0,79.0,1.0,7.4,5.0,315.0,2.0,NW
269,2017-10-28,23.4,31.2,27.7,83.0,119.0,6.4,3.0,315.0,0.0,NW
270,2017-10-29,23.0,33.8,29.4,72.0,4.0,5.4,4.0,360.0,2.0,N 
271,2017-10-30,24.2,32.6,28.8,79.0,30.0,7.8,4.0,315.0,2.0,NW
272,2017-10-31,24.8,32.6,28.5,76.0,15.0,7.5,4.0,315.0,2.0,NW
273,2017-11-01,25.6,34.0,29.1,73.0,0.0,7.2,3.0,315.0,3.0,NW
274,2017-11-02,26.0,32.6,29.1,76.0,0.0,5.1,4.0,360.0,3.0,N 
275,2017-11-03,26.4,33.0,29.7,67.0,0.0,3.9,3.0,360.0,4.0,N 
276,2017-11-04,25.8,32.2,29.5,76.0,1.0,5.1,8.0,225.0,0.0,SW
277,2017-11-05,22.2,32.6,28.5,80.0,55.0,5.2,4.0,360.0,3.0,N 
278,2017-11-06,25.6,33.4,29.5,74.0,2.0,6.8,6.0,225.0,3.0,SW
279,2017-11-07,25.6,33.4,29.7,86.0,0.0,1.2,7.0,225.0,3.0,N 
280,2017-11-08,24.6,32.4,28.7,75.0,0.0,6.4,4.0,315.0,2.0,NW
281,2017-11-09,25.6,32.0,28.4,80.0,0.0,3.4,6.0,225.0,3.0,SW
282,2017-11-10,23.0,34.0,27.8,70.0,14.0,5.3,5.0,270.0,3.0,W 
283,2017-11-11,24.0,32.4,27.8,78.0,38.0,6.5,4.0,360.0,2.0,N 
284,2017-11-12,25.2,31.0,27.1,86.0,2.0,4.9,3.0,360.0,2.0,N 
285,2017-11-13,25.8,31.6,27.2,88.0,5.0,3.5,4.0,360.0,3.0,N 
286,2017-11-14,23.0,31.4,27.3,83.0,48.0,5.2,6.0,315.0,3.0,NW
